id,tire,tpop,ngrw,pgrw,octy,opop,landv,eld,ffrac,pinc,lnhdd
410069,0,.53500003,0,.024,.039999999,.04555,.097000003,.1731659,.73100001,5.4889998,8.4534006
460007,0,1.018,-.23,0,.075999998,.1249,.155,.10611038,1.062,3.9649999,8.8957663
460015,2,2.2579999,-.368,0,.17900001,.5266,.23199999,.14528123,.87900001,4.6690001,8.9727173
460025,0,1.351,-.0049999999,0,.142,.23639999,.29699999,.18818963,.92799997,4.6339998,9.0560226
460031,0,.41800001,-.145,0,.206,.1445,.131,.082563512,.98799998,3.5209999,9.0560226
460037,0,2.4170001,0,.16500001,.192,.36840001,.30399999,.19869667,.90700001,4.8249998,9.0560226
460041,1,.66000003,0,.035,.079999998,.1453,.163,.085911296,1.067,3.9430001,9.0560226
460049,1,.98100001,0,.026000001,.07,.1516,.233,.17853923,.93900001,4.3239999,9.0560226
460055,0,1.0880001,0,.105,.035,.042410001,.155,.12848961,1,4.9239998,8.8957663
460063,1,.45300001,0,.059999999,.02,.036910001,.13600001,.13117647,.93599999,5.132,8.8957663
460073,0,1.2029999,-.097000003,0,.071999997,.1398,.241,.2004097,.94099998,4.7940001,8.9727173
460075,1,.72299999,-.142,0,.0099999998,.078539997,.17900001,.15174299,.87400001,5.171,8.8957663
460089,1,1.36,-.18700001,0,.075999998,.17910001,.213,.20163894,.85699999,4.277,9.0560226
460095,0,.56099999,-.056000002,0,.079999998,.1013,.141,.11560693,.84500003,3.5810001,8.8957663
460107,2,1.623,-.292,0,.039999999,.161,.303,.17637452,.97100002,4.7589998,9.0560226
460115,3,3.027,0,.083999999,.23,.27489999,.336,.16280839,.97100002,5.1409998,9.0560226
460119,0,.85100001,0,.066,.101,.080899999,.29800001,.13266331,.935,4.7309999,9.0560226
460121,2,.74800003,0,.0089999996,.15899999,.3299,.15800001,.052265283,1.204,3.1589999,8.8957663
480003,7,11.061,0,2.4360001,.45899999,.92047,.141,.075358406,.72899997,7.0029998,7.8853292
480079,1,2.674,-.064000003,0,.162,.205,.301,.1065285,.82499999,5.6240001,8.1650791
480101,2,2.2160001,0,.164,.046999998,.049479999,.228,.22633186,.82700002,7.263,8.1650791
480105,3,3.766,0,.90200001,.168,.023559999,.13500001,.092664927,1.0470001,6.7670002,7.7463007
480109,5,2.7720001,-.117,0,.123,.011,.152,.071493216,.75800002,4.29,7.8875842
480111,4,6.8540001,0,1.149,.38100001,.088749997,.31299999,.1250957,.889,5.2420001,8.350194
480115,5,11.79,0,.23100001,.52899998,1.59162,.55599999,.13056105,1.073,5.9829998,8.1650791
480125,1,1.6900001,-.057,0,.107,.1084,.193,.22548743,.94,4.7579999,8.1650791
480137,1,1.317,0,.096000001,.052999999,.02592,.204,.14756517,.81900001,4.9390001,7.3198647
480211,2,3.4909999,0,1.199,.20299999,.14919999,.18000001,.09294872,.99400002,7.8080001,8.350194
480247,1,4.684,0,.60500002,.375,.033769999,.153,.12906347,1.143,4.7719998,6.8308744
480267,3,2.5929999,-.061000001,0,.109,.091109999,.259,.19714497,.912,5.5349998,7.7463007
480307,5,5.9689999,0,.412,.115,.72627002,.31200001,.24682313,1.041,5.414,7.7463007
480345,2,1.052,-.039000001,0,.048999999,.026700001,.17299999,.24102564,.815,5.9299998,8.1650791
480383,1,3.404,0,.91500002,.236,.047910001,.16599999,.056831922,.82099998,6.4660001,7.8853292
480421,2,1.9170001,-.222,0,.192,.1045,.42399999,.12161311,.99699998,10.504,8.350194
480431,0,.91500002,0,.13500001,.017999999,.02513,.215,.14593698,1.272,7.138,7.8853292
480443,0,1.2410001,0,.012,.079000004,.011779999,.082999997,.13040753,.88700002,7.0689998,7.3198647
480447,1,1.174,0,.068999998,.079000004,.038479999,.19400001,.24890405,.98699999,6.3969998,7.8713112
490013,5,3.842,0,1.837,.49000001,.54871994,.419,.067727819,.18700001,5.5310001,8.6659584
490017,0,1.3430001,0,.025,.090999998,.033769999,.384,.1184318,.039000001,4.9689999,8.6659584
490019,5,5.3330002,0,.54000002,.433,.06205,.114,.066011406,.074000001,6.4949999,8.6659584
490033,0,.65899998,0,.15899999,.25299999,.074610002,.13699999,.092857145,.755,5.8210001,8.8174458
490047,7,6.5999999,0,2.6919999,.85399997,1.0508001,.171,.059592314,.48800001,5.7680001,8.6659584
490055,0,.36399999,0,.039999999,.072999999,.34979999,.36500001,.13605443,.059999999,4.6750002,8.6659584
510091,1,.24699999,0,.024,.426,.33829999,.50999999,.15798433,.405,6.0469999,8.3717051
530019,3,1.018,0,.156,.226,.1673,.322,.084322833,.56400001,5.5830002,8.8366642
540071,1,.77999997,0,.085000001,.60299999,.91940004,.56400001,.15347661,.48699999,4.618,8.5844784
560005,8,12.134,0,4.9400001,.396,.78819001,.108,.028440103,.935,9.2449999,8.9414148
560007,7,11.547,0,3.6919999,.58899999,.80403,.112,.069099382,.55599999,8.2270002,8.9414148
560009,2,6.0300002,0,3.3529999,.76200002,.42535001,.1,.055441041,.89399999,8.1330004,8.9414148
560013,2,7.8670001,0,.74199998,.33199999,1.22251,.134,.069963068,.39500001,7.2690001,8.9414148
560015,3,5.441,0,1.204,.61500001,1.1889399,.2,.14709303,.91799998,6.2740002,8.8969984
560017,5,3.852,0,.78899997,.18700001,.066760004,.093999997,.16287215,.78200001,7.0009999,8.9414148
560019,3,3.799,0,.405,.31900001,.054189999,.114,.13835821,.72299999,8.0229998,8.9414148
560027,1,1.65,0,.155,.071999997,.033769999,.104,.17305061,.82099998,6.4809999,8.9414148
560029,4,6.79,0,1.6289999,.69,.45486999,.242,.10370165,.229,7.2140002,8.9414148
560033,7,15.146,0,4.29,1.268,1.2230999,.24699999,.11913127,.847,7.7849998,8.9414148
560035,3,1.066,0,.118,.134,.054189999,.26800001,.083333336,.178,7.059,8.9414148
560039,5,4.5110002,0,1.823,.192,.1076,1.301,.051950827,.025,9.04,8.9414148
560041,8,6.421,0,1.959,1.081,.56046999,.193,.059519239,.58600003,7.5180001,8.9414148
560043,6,6.3909998,0,1.336,.13600001,.1076,.26199999,.097093515,.259,7.066,8.9414148
560045,3,3.596,0,.164,.30199999,.1139,.090000004,.092457078,.95099998,7.3569999,8.9414148
